caseid2019,Duration,weight,weight_pop,xgh1,xd1i,DeviceType2,B2,EF3_a,EF3_b,EF3_c,EF3_d,EF3_e,EF3_f,EF3_g,EF3_h,EF5A,EF6A_a,EF6A_b,EF6A_c,EF6A_d,EF6A_e,EF6A_f,EF6A_g,EF7_a,EF7_b,CV1,CV2,CV2A,CV4_a,CV4_b,CV4_c,CV4_d,CV4_e,CV5,CV11,CV11A,CV8,CV12,CV12A,CV13A,CV13B,CV14,CV15,CV16_a,CV16_b,CV16_c,CV16_d,CV16_e,CV17,K5A,ppage,ppagecat,ppagect4,ppeduc,ppeducat,ppethm,ppgender,pphhhead,pphhsize,pphouse,ppincimp,ppmarit,ppmsacat,PPREG4,ppreg9,pprent,ppstaten,PPT01,PPT1317,PPT18OV,PPT25,PPT612,ppwork
6863,155,1.8441,110647.634,"Pay rent","No","AndroidPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","3 to 5","No","No","Yes","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Much higher","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",20,"18-24","18-29","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","$50,000 to $59,999","Never married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","pa",0,0,4,0,0,"Not working other"
6864,160,1.6634,99805.8497,"Neither own nor pay rent","No","WinPC","Finding it difficult to get by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Can't pay some bills","No","No","No","No","No","Student loan","No","Not at all confident","Not at all confident","Employed","None","1 to 2","Yes","No","No","No","No","Yes, already returned to work for the same employer","About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",24,"18-24","18-29","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","No",1,"A one-family house detached from any other house","$60,000 to $74,999","Never married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,1,0,0,"Working self-employed"
6865,1361,.7176,43055.3027,"Pay rent","Yes","WinPC","Doing okay","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive",,,65,"65-74","60+","Associate degree","Some college","Black, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$10,000 to $12,499","Never married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","ga",0,0,1,0,0,"Not working retired"
6869,594,.6953,41715.1935,"Pay rent","No","AndroidPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",62,"55-64","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","No",3,"A one-family house detached from any other house","$150,000 to $174,999","Divorced","Metro","Northeast","New England","Owned or being bought by you or someone in your household","ct",0,0,3,0,0,"Working as a paid employee"
6870,168,1.2902,77412.1049,"Own your home with a mortgage or a loan","No","AndroidPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","Yes","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",43,"35-44","30-44","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",3,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","md",0,0,2,0,1,"Working as a paid employee"
6872,185,.9941,59643.4573,"Own your home with a mortgage or a loan","No","iPhone","Doing okay","No","Put it on my credit card and pay it off over time","No","No","By borrowing from a friend or family member","No","By selling something","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","10 to 19","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",35,"35-44","30-44","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",3,"A one-family house detached from any other house","$85,000 to $99,999","Never married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,3,0,0,"Working as a paid employee"
6888,171715,.9274,55640.8997,"Pay rent","No","WinPC","Just getting by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",58,"55-64","45-59","Associate degree","Some college","White, Non-Hispanic","Female","No",2,"A building with 2 or more apartments","$35,000 to $39,999","Divorced","Metro","South","South Atlantic","Rented for cash","md",0,0,2,0,0,"Not working disabled"
6889,1463,2.6428,158566.193,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",49,"45-54","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Other, Non-Hispanic","Male","Yes",2,"A building with 2 or more apartments","$200,000 to $249,999","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,0,2,0,0,"Working as a paid employee"
6890,180,1.1844,71062.6457,"Own your home with a mortgage or a loan","Yes","Mac","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat higher","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,61,"55-64","60+","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",3,"A one-family house detached from any other house","$250,000 or more","Married","Metro","West","Mountain","Owned or being bought by you or someone in your household","co",0,0,3,0,0,"Not working other"
6892,174,.7693,46155.6261,"Own your home free and clear (without a mortgage or loan)","No","WinPC","Doing okay","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Temporarily laid off or furloughed",,,"Yes","No","No","No","No","Yes, employer expressed this is temporary but did not provide a return date","About the right amount of precautions",,"About the same",,,,,,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Income from unemployment insurance is higher than prior income","No",58,"55-64","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$60,000 to $74,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","il",0,0,2,0,0,"Working as a paid employee"
6893,324,.937,56222.1011,"Own your home with a mortgage or a loan","No","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","Yes",,"About the right amount of precautions","Cause you to work less","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",39,"35-44","30-44","Masters degree","Bachelor's degree or higher","Black, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$75,000 to $84,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","ga",0,0,2,0,2,"Working as a paid employee"
6894,167,.6485,38908.0274,"Own your home free and clear (without a mortgage or loan)","Yes","Mac","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,70,"65-74","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$60,000 to $74,999","Married","Metro","Midwest","West-North Central","Owned or being bought by you or someone in your household","mn",0,0,2,0,0,"Not working retired"
6897,177,1.0333,61995.1251,"Own your home with a mortgage or a loan","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",57,"55-64","45-59","Professional or Doctorate degree","Bachelor's degree or higher","White, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$200,000 to $249,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,2,0,0,"Working as a paid employee"
6899,1385,.6266,37595.0938,"Own your home with a mortgage or a loan","No","AndroidPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",52,"45-54","45-59","Bachelors degree","Bachelor's degree or higher","Other, Non-Hispanic","Male","Yes",3,"A one-family house detached from any other house","$125,000 to $149,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","ga",0,0,3,0,0,"Working as a paid employee"
6902,153,1.2088,72525.9282,"Pay rent","Yes","WinPC","Just getting by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,59,"55-64","45-59","12th grade NO DIPLOMA","Less than high school","White, Non-Hispanic","Male","No",2,"A mobile home","$20,000 to $24,999","Separated","Metro","West","Pacific","Owned or being bought by you or someone in your household","or",0,0,2,0,0,"Not working disabled"
6906,107,.9336,56012.8873,"Pay rent","Yes","WinPC","Finding it difficult to get by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Can't pay some bills","Rent or mortgage","Credit card","Water, gas, or electric bill","Phone or cable bill","Car payment","No","Other bills","Not at all confident","Not at all confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,28,"25-34","18-29","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$15,000 to $19,999","Never married","Metro","Northeast","Mid-Atlantic","Rented for cash","ny",0,0,1,0,0,"Not working disabled"
6908,267,1.2005,72032.2646,"Pay rent","No","AndroidPhone","Just getting by","No","No","No","No","By borrowing from a friend or family member","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, borrowed money",42,"35-44","30-44","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$125,000 to $149,999","Married","Metro","Midwest","East-North Central","Owned or being bought by you or someone in your household","mi",0,1,3,0,0,"Working as a paid employee"
6910,294,.7141,42848.4283,"Own your home with a mortgage or a loan","Yes","WinPC","Doing okay","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"Somewhat lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,50,"45-54","45-59","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Male","Yes",2,"A mobile home","$30,000 to $34,999","Married","Metro","South","East-South Central","Owned or being bought by you or someone in your household","tn",0,0,2,0,0,"Not working retired"
6912,175,.4956,29733.0476,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Self-employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",78,"75+","60+","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","$85,000 to $99,999","Married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","ny",0,0,4,0,0,"Working self-employed"
6914,302,.9223,55335.08,"Own your home with a mortgage or a loan","No","WinPC","Just getting by","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Slightly confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","No, do not expect to return to the same employer","About the right amount of precautions",,"Much lower","Yes",,"Don't know","Not at all confident",,"No","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","About the same","No",35,"35-44","30-44","Bachelors degree","Bachelor's degree or higher","Other, Non-Hispanic","Male","Yes",4,"A one-family house detached from any other house","$75,000 to $84,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","va",1,0,2,1,0,"Working as a paid employee"
6915,50965,.4646,27875.3701,"Own your home with a mortgage or a loan","No","AndroidPhone","Just getting by","No","Put it on my credit card and pay it off over time","With the money currently in my checking/savings account or with cash","No","No","No","By selling something","No","Can't pay some bills","Rent or mortgage","No","Water, gas, or electric bill","No","No","No","Other bills","Very confident","Very confident","Employed","None","20 or more","No","No","No","Yes","Yes",,"Not enough precautions","No effect on the amount you work at your job","Much lower","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive",,"No",41,"35-44","30-44","Associate degree","Some college","2+ Races, Non-Hispanic","Female","Yes",4,"A one-family house detached from any other house","$125,000 to $149,999","Divorced","Metro","West","Pacific","Owned or being bought by you or someone in your household","wa",0,0,2,1,1,"Working as a paid employee"
6920,761164,.7649,45896.6851,"Pay rent","Yes","iPhone","Doing okay","No","No","No","No","By borrowing from a friend or family member","No","No","No","Able to pay all bills",,,,,,,,"Slightly confident","Slightly confident","Employed","Some","6 to 9","No","No","No","No","No",,"About the right amount of precautions","Cause you to work more","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Received",,,52,"45-54","45-59","Bachelors degree","Bachelor's degree or higher","Other, Non-Hispanic","Female","Yes",2,"A one-family house attached to one or more houses","$50,000 to $59,999","Married","Metro","West","Pacific","Rented for cash","ca",0,0,2,0,0,"Working as a paid employee"
6922,312,1.1853,71120.4221,"Neither own nor pay rent","No","iPhone","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","None","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",26,"25-34","18-29","Associate degree","Some college","Hispanic","Male","No",4,"A one-family house detached from any other house","$100,000 to $124,999","Never married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","va",0,0,4,0,0,"Working as a paid employee"
6924,21092,.987,59219.1186,"Pay rent","No","iPhone","Doing okay","Put it on my credit card and pay it off in full at the next statement","Put it on my credit card and pay it off over time","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","None","20 or more","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",26,"25-34","18-29","Some college, no degree","Some college","Black, Non-Hispanic","Male","Yes",1,"A building with 2 or more apartments","$30,000 to $34,999","Never married","Metro","West","Mountain","Rented for cash","nv",0,0,1,0,0,"Working as a paid employee"
6928,104,.9593,57556.3474,"Own your home with a mortgage or a loan","No","Mac","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",43,"35-44","30-44","Bachelors degree","Bachelor's degree or higher","White, Non-Hispanic","Male","Yes",2,"A one-family house detached from any other house","$175,000 to $199,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Working as a paid employee"
6929,280,1.045,62700.9754,"Pay rent","No","Mac","Just getting by","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Slightly confident","Moderately confident","Not employed, but looking for a job",,,"Yes","No","No","No","No","No, do not expect to return to the same employer","About the right amount of precautions",,"Much lower","No","No",,,"No","No","Applied for but not received","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive",,"No",21,"18-24","18-29","Some college, no degree","Some college","White, Non-Hispanic","Male","Yes",5,"A one-family house detached from any other house","$100,000 to $124,999","Living with partner","Metro","South","East-South Central","Owned or being bought by you or someone in your household","al",0,0,5,0,0,"Working as a paid employee"
6932,185,1.5373,92238.2654,"Own your home with a mortgage or a loan","Yes","AndroidPhone","Just getting by","No","No","No","No","No","Using a payday loan, deposit advance, or overdraft","No","No","Can't pay some bills","No","No","No","No","No","No","Other bills","Moderately confident","Moderately confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,66,"65-74","60+","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","White, Non-Hispanic","Female","No",4,"A mobile home","$50,000 to $59,999","Married","Non-Metro","South","East-South Central","Owned or being bought by you or someone in your household","ky",0,2,2,0,0,"Not working retired"
6934,136,1.0405,62426.639,"Own your home free and clear (without a mortgage or loan)","Yes","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same",,,,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,75,"75+","60+","Professional or Doctorate degree","Bachelor's degree or higher","Other, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","$250,000 or more","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,2,0,0,"Not working retired"
6936,333,2.1208,127245.944,"Own your home free and clear (without a mortgage or loan)","No","AndroidPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","3 to 5","No","No","No","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","About the same",,,,,,"No","Did not apply for and did not receive","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive",,"No",45,"45-54","45-59","Some college, no degree","Some college","Hispanic","Male","Yes",3,"A one-family house detached from any other house","$50,000 to $59,999","Married","Metro","South","West-South Central","Owned or being bought by you or someone in your household","tx",0,0,2,0,1,"Working as a paid employee"
6937,347,.5855,35131.1028,"Own your home with a mortgage or a loan","Yes","WinPC","Just getting by","Put it on my credit card and pay it off in full at the next statement","No","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Slightly confident","Slightly confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,,79,"75+","60+","Bachelors degree","Bachelor's degree or higher","Other, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$30,000 to $34,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,1,0,0,"Not working retired"
6939,207,.9137,54821.5447,"Own your home with a mortgage or a loan","No","iPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","No","No","No","No",,"Too many precautions","No effect on the amount you work at your job","About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",63,"55-64","60+","Some college, no degree","Some college","White, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$125,000 to $149,999","Married","Metro","West","Pacific","Owned or being bought by you or someone in your household","ca",0,0,1,0,0,"Working as a paid employee"
6943,166,.9985,59912.0223,"Pay rent","No","iPhone","Just getting by","No","No","No","No","No","No","No","I wouldn't be able to pay for the expense right now","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","20 or more","No","No","No","No","No",,"Not enough precautions","Cause you to stop working","About the same","No","No",,,"No","No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"Yes, cashed out",26,"25-34","18-29","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","Black, Non-Hispanic","Female","Yes",2,"A one-family house detached from any other house","Less than $5,000","Never married","Non-Metro","South","West-South Central","Rented for cash","ar",0,0,1,0,1,"Working as a paid employee"
6944,190,1.5516,93097.159,"Pay rent","No","AndroidPhone","Just getting by","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed, but looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,"No","No","Did not apply for and did not receive","Received","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",28,"25-34","18-29","Associate degree","Some college","White, Non-Hispanic","Male","Yes",1,"A one-family house detached from any other house","$7,500 to $9,999","Never married","Metro","Northeast","Mid-Atlantic","Owned or being bought by you or someone in your household","pa",0,0,1,0,0,"Not working looking for work"
6945,2085,.7678,46070.0235,"Pay rent","No","WinPC","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Can't pay some bills","No","Credit card","No","No","No","No","No","Moderately confident","Slightly confident","Employed","All",,"No","No","No","No","Yes",,"About the right amount of precautions","No effect on the amount you work at your job","About the same","No","No",,,"No","Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",33,"25-34","30-44","Masters degree","Bachelor's degree or higher","Black, Non-Hispanic","Female","Yes",1,"A building with 2 or more apartments","$100,000 to $124,999","Married","Metro","South","South Atlantic","Rented for cash","dc",0,0,1,0,0,"Working as a paid employee"
6946,82,1.6025,96146.8288,"Neither own nor pay rent","No","AndroidPhone","Living comfortably","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Not employed and not looking for a job",,,"No","No","No","No","No",,,,"About the same","No","No",,,,"No","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",18,"18-24","18-29","HIGH SCHOOL GRADUATE high school DIPLOMA or the equivalent (GED)","High school","2+ Races, Non-Hispanic","Male","No",2,"A one-family house detached from any other house","$85,000 to $99,999","Never married","Metro","West","Mountain","Owned or being bought by you or someone in your household","co",0,0,2,0,0,"Not working other"
6948,338,.7315,43890.2737,"Own your home with a mortgage or a loan","No","WinPC","Living comfortably","Put it on my credit card and pay it off in full at the next statement","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Able to pay all bills",,,,,,,,"Very confident","Very confident","Employed","All",,"No","Yes","Yes","No","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat higher","No","No",,,,"Yes","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive","Did not apply for and did not receive",,"No",45,"45-54","45-59","Bachelors degree","Bachelor's degree or higher","Hispanic","Male","Yes",2,"A one-family house attached to one or more houses","$100,000 to $124,999","Married","Metro","South","South Atlantic","Owned or being bought by you or someone in your household","fl",0,0,2,0,0,"Working as a paid employee"
6950,93,1.7136,102817.15,"Pay rent","No","AndroidPhone","Doing okay","No","No","With the money currently in my checking/savings account or with cash","No","No","No","No","No","Can't pay some bills","No","No","Water, gas, or electric bill","No","No","No","No","Moderately confident","Moderately confident","Not working, but being paid my normal wages",,,"Yes","Yes","Yes","Yes","Yes","Yes, employer expressed this is temporary but did not provide a return date","About the right amount of precautions","Cause you to work more","Somewhat lower","Yes",,"No","Slightly confident","Yes","Yes","Applied for but not received","Applied for but not received","Applied for but not received","Applied for but not received","Applied for but not received",,"Yes, cashed out",55,"55-64","45-59","Some college, no degree","Some college","Other, Non-Hispanic","Female","No",3,"A building with 2 or more apartments","$40,000 to $49,999","Divorced","Metro","West","Pacific","Rented for cash","ca",0,1,2,0,0,"Working as a paid employee"
6953,490,.8208,49248.1037,"Own your home with a mortgage or a loan","Yes","WinPC","Doing okay","No","Put it on my credit card and pay it off over time","No","No","No","No","No","No","Able to pay all bills",,,,,,,,"Moderately confident","Moderately confident","Employed","None","6 to 9","No","No","No","Yes","No",,"About the right amount of precautions","No effect on the amount you work at your job","Somewhat lower","No","No",,,,"Yes","Did not apply for and did not receive","Received","Received","Did not apply for and did not receive","Did not apply for and did not receive",,,64,"55-64","60+","Some college, no degree","Some college","Other, Non-Hispanic","Female","Yes",1,"A one-family house detached from any other house","$20,000 to $24,999","Widowed","Metro","West","Mountain","Owned or being bought by you or someone in your household","mt",0,0,1,0,0,"Working as a paid employee"
