GP19A9,German,English,Unit
2211 20 500,für Lastkraftwagen und Omnibusse,For trucks and buses,St
2211 20 900,"Andere Luftreifen, runderneuert","Other air tires, retired",St
2219 10 000,"Regenerierter Kautschuk in Primärformen oder in Platten, Blättern oder Streifen","Rengered rubber in primary shapes or plates, leaves or stripes",kg
2219 20 130,Kautschuk mit Zusatz von Ruß oder Siliciumdioxid,Rubber with the addition of soot or silicon dioxide,kg
2219 20 190,"Kautschuklösungen; Dispersionen (ohne solche mit Zusatz von Ruß oder Siliciumdioxid) und andere Kautschukmischungen, in Platten, Blättern, Streifen oder in Primärformen","Rubber solutions; Dispersions (without such with the addition of soot or silicon dioxide) and other rubber blends, in plates, leaves, stripes or in primary forms",kg
2219 20 300,"Andere Formen (z.B. Stäbe, Stangen, Rohre) und Waren (z.B. Scheiben, Ringe), aus nicht vulkanisiertem Kautschuk (ohne Rohlaufprofile)","Other shapes (e.g. rods, poles, pipes) and goods (e.g. slices, rings), from non -vulcanized rubber (without blank ruffles)",kg
2219 20 500,"Fäden und Kordeln, aus vulkanisiertem Kautschuk","Threads and cords, made of vulcanized rubber",kg
2219 20 703,für Schuhsohlen,for shoe soles,kg
2219 20 709,für andere Zwecke,for other purposes,kg
2219 20 830,"Stäbe, Stangen und Profile, aus vulkanisiertem Zellkautschuk","Rods, sticks and profiles, made of vulcanized cell rubber",kg
2219 20 850,"Platten, Blätter und Streifen, für Bodenbeläge und Fußmatten, aus vulkanisiertem Vollkautschuk","Plates, leaves and stripes, for floor coverings and floor mats, made of vulcanized full rubber",kg
2219 20 870,"Stäbe, Stangen und Profile, aus vulkanisiertem Vollkautschuk","Rods, sticks and profiles, made of vulcanized full rubber",kg
2219 30 300,"Rohre und Schläuche, aus vulkanisiertem Weichkautschuk, nicht mit anderen Stoffen verstärkt oder ausgerüstet (ohne Form-, Verschluss- oder Verbindungsstücke)","Pipes and hoses, made of vulcanized soft rubber, not reinforced or equipped with other fabrics (without shape, closure or connecting pieces)",kg
2219 30 550,mit Metall verstärkt oder ausgerüstet,reinforced or equipped with metal,kg
2219 30 570,mit textilen Spinnstoffen verstärkt oder ausgerüstet,reinforced or equipped with textile spins,kg
2219 30 590,mit anderen Stoffen verstärkt oder ausgerüstet,reinforced or equipped with other fabrics,kg
2219 30 700,"Rohre und Schläuche, aus vulkanisiertem Weichkautschuk, mit Form-, Verschluss- oder Verbindungsstücken","Pipes and hoses, made of vulcanized soft rubber, with shape, locking or connecting pieces",kg
2219 40 300,Keilriemen (Treibriemen),V -belt (trim strap),kg
2219 40 500,Förderbänder,Conveyor belt,kg
2219 40 700,Synchrontreibriemen (Zahnriemen),Synchronous string strap (timing belt),kg
2219 40 900,Andere Treibriemen (ohne Synchrontreibriemen),Other lobbids (without synchronized streak),kg
2219 50 500,"Klebebänder, aus kautschutiertem Gewebe, mit einer Breite von 20 cm oder weniger","Adhesive tapes, made of rubber tissue, with a width of 20 cm or less",kg
2219 50 700,"Andere kautschutierte Gewebe, aus Gewirken oder Gestricken u.a. gewebeähnlichen Erzeugnissen","Other rubber tissues, from certain or knitted tissue -like products",kg
2219 60 000,"Bekleidung und Bekleidungszubehör, aus vulkanisiertem Weichkautschuk","Clothing and clothing accessories, from vulcanized soft rubber",EUR
2219 71 200,Präservative,Anticerservative,1000 St
2219 71 301,"Sauger, Brusthütchen u.ä. Waren für Kleinkinder","Sucker, chest stuff, etc. Goods for toddlers",kg
2219 71 309,Andere Waren zu hygienischen oder medizinischen Zwecken,Other goods for hygienic or medical purposes,kg
2219 72 000,"Bodenbeläge und Fußmatten, aus vulkanisiertem Weichkautschuk (ohne solche aus Zellkautschuk)","Floor coverings and floor mats, made of vulcanized soft rubber (without those made of cell rubber)",kg
2219 73 100,"Waren aus Zellkautschuk, a.n.g.","Were made of cell rubber, A.N.G.",kg
2219 73 210,Radiergummi,Eraser,kg
2219 73 230,Dichtungen,Seals,kg
2219 73 300,"Fender, auch aufblasbar und andere aufblasbare Waren (ohne aufblasbare Luftmatratzen, Boote, Flöße u.a. schwimmende Vorrichtungen sowie Waren zu hygienischen oder medizinischen Zwecken)","Fender, also inflatable and other inflatable goods (without inflatable air mattresses, boats, rafts, including floating devices and goods for hygienic or medical purposes)",kg
2219 73 450,Gummi-Metallteile für Kraftfahrzeuge,Rubber metal parts for motor vehicles,kg
2219 73 470,Formartikel für Kraftfahrzeuge,Form items for motor vehicles,kg
2219 73 490,Andere Gummi-Metallteile,Other rubber metal parts,kg
2219 73 500,Laufsohlen und Absätze aus Kautschuk,Running soles and paragraphs from rubber,St
2219 73 651,Kompensatoren für Rohrleitungen,Compensators for pipes,kg
2219 73 655,Formartikel für andere Zwecke,Form items for other purposes,kg
2219 73 657,Walzenbezüge,Roller covers,kg
2219 73 658,"Andere Waren für andere Zwecke, a.n.g.","Others were for other purposes, A.N.G.",kg
2219 73 790,Hartkautschuk in allen Formen (einschl. Abfällen und Bruch); Waren aus Hartkautschuk,Hart rubber in all forms (including waste and break); Were made of hard rubber,kg
2221 10 500,aus Polymeren des Ethylens,From polymers of the ethylene,kg
2221 10 703,Fenster- und Türprofile,Window and door profiles,kg
2221 10 709,"Andere Stäbe, Stangen und Profile","Other rods, sticks and profiles",kg
2221 10 903,Fenster- und Türprofile,Window and door profiles,kg
2221 10 905,"Andere Stäbe, Stangen und Profile, aus faserverstärkten Kunststoffen","Other rods, poles and profiles, from fiber reinforced plastics",kg
2221 10 909,"Andere Stäbe, Stangen und Profile, aus anderen Kunststoffen","Other rods, poles and profiles, from other plastics",kg
2221 21 300,Kunstdärme (Wursthüllen) aus gehärteten Eiweißstoffen oder aus zellulosischem Material,Art intakes (sausage sleeves) made of hardened protein substances or cellulosic material,kg
2221 21 530,aus Polymeren des Ethylens,From polymers of the ethylene,kg
2221 21 550,aus Polymeren des Propylens,From polymers of the propylene,kg
2221 21 570,aus Polymeren des Vinylchlorids,From polymers of the vinyl chloride,kg
2221 21 705,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,kg
2221 21 709,aus anderen Kunststoffen,From other plastics,kg
2221 29 200,"Rohre und Schläuche, biegsam, die einem Druck von 27,6 MPa oder mehr standhalten","Pipes and hoses, flexible that can withstand a pressure of 27.6 MPa or more",kg
2221 29 353,aus Polymeren des Vinylchlorids,From polymers of the vinyl chloride,kg
2221 29 355,aus Polyamiden,From polyamids,kg
2221 29 357,aus Polymeren des Ethylens,From polymers of the ethylene,kg
2221 29 359,aus anderen Kunststoffen,From other plastics,kg
2221 29 370,"mit Form-, Verschluss- oder Verbindungsstücken","With shape, closure or connecting pieces",kg
2221 29 500,"Andere Rohre und Schläuche, biegsam, a.n.g.","Other pipes and hoses, flexible, A.N.G.",kg
2221 29 700,"Form-, Verschluss- oder Verbindungsstücke","Form, closure or connecting pieces",kg
2221 30 103,"mit einer Dichte von weniger als 0,94",With a density of less than 0.94,kg
2221 30 105,"mit einer Dichte von 0,94 oder mehr",With a density of 0.94 or more,kg
2221 30 173,"mit einer Dichte von weniger als 0,94",With a density of less than 0.94,kg
2221 30 175,"mit einer Dichte von 0,94 oder mehr",With a density of 0.94 or more,kg
2221 30 210,"mit einer Dicke von 0,1 mm oder weniger, biaxial orientiert","With a thickness of 0.1 mm or less, biaxial oriented",kg
2221 30 230,"Andere Tafeln, Folien u.ä., mit einer Dicke von 0,1 mm oder weniger","Other plates, foils, etc., with a thickness of 0.1 mm or less",kg
2221 30 261,"Bänder, mit einer Dicke von mehr als 0,1 mm und einer Breite von mehr als 5 mm bis 20 mm, für Verpackungszwecke","Bands, with a thickness of more than 0.1 mm and a width of more than 5 mm to 20 mm, for packaging purposes",kg
2221 30 269,"Andere Platten, Folien, Streifen und Bänder, mit einer Dicke von mehr als 0,1 mm","Other plates, foils, stripes and ligaments, with a thickness of more than 0.1 mm",kg
2221 30 303,mit einer Dicke von 1 mm oder weniger,With a thickness of 1 mm or less,kg
2221 30 305,mit einer Dicke von mehr als 1 mm,With a thickness of more than 1 mm,kg
2221 30 350,mit einer Dicke von 1 mm oder weniger,With a thickness of 1 mm or less,kg
2221 30 360,mit einer Dicke von mehr als 1 mm,With a thickness of more than 1 mm,kg
2221 30 370,mit einer Dicke von 1 mm oder weniger,With a thickness of 1 mm or less,kg
2221 30 380,mit einer Dicke von mehr als 1 mm,With a thickness of more than 1 mm,kg
2221 30 530,aus Polymethyl-Methacrylat,made of polymethyl methacrylate,kg
2221 30 590,aus anderen Acrylpolymeren,From other acrylic polymers,kg
2221 30 610,aus Polycarbonaten,From polycarbonates,kg
2221 30 630,aus ungesättigten Polyestern,From unsaturated polyesters,kg
2221 30 650,"aus Polyethylenterephthalat, mit einer Dicke von 0,35 mm oder weniger","made of polyethylenterephthalate, with a thickness of 0.35 mm or less",kg
2221 30 670,"aus Polyethylenterephthalat, mit einer Dicke von mehr als 0,35 mm","made of polyethylenterephthalate, with a thickness of more than 0.35 mm",kg
2221 30 690,aus anderen Polyestern,From other polyesters,kg
2221 30 700,"Folien, Bänder oder Streifen, Tafeln u.ä., aus Cellulose oder ihren chemischen Derivaten","Foils, ligaments or strips, plates, etc., made of cellulose or chemical derivatives",kg
2221 30 820,"aus Polyamiden, weder verstärkt noch geschichtet","made of polyamids, neither reinforced nor layered",kg
2221 30 860,"aus Polyvinylbutyral, Aminoharzen, Phenolharzen und aus Additions-, Kondensationspolymerisations- und Umlagerungspolymerisationserzeugnissen, auch chemisch modifiziert","From polyvinyl butyral, aminoharzen, phenol resins and from addition, condensation polymerization and reconciliation polymerization products, also chemically modified",kg
2221 30 900,"Andere Tafeln, Folien u.ä. aus anderen Kunststoffen, weder verstärkt noch geschichtet","Other plates, foils, etc. from other plastics, neither reinforced nor layered",kg
2221 41 200,aus Polymeren des Styrols,From polymers of the styrene,kg
2221 41 300,aus Polymeren des Vinylchlorids,From polymers of the vinyl chloride,kg
2221 41 500,aus Polyurethanen,From polyurethanes,kg
2221 41 700,aus regenerierter Cellulose,From regenerated cellulose,kg
2221 41 800,aus Epoxidharzen und anderen Zellkunststoffen,From epoxy resins and other cell plastics,kg
2221 42 303,aus faserverstärktem Polyester,From fiber -reinforced polyester,kg
2221 42 307,aus anderem Polyester,From other polyester,kg
2221 42 500,"Andere Tafeln, Platten, Folien, Filme, Bänder und Streifen, aus Phenolharzen (ohne solche aus Zellkunststoff)","Other plates, plates, foils, films, ligaments and stripes, made of phenol resin (without those made of cell plastic)",kg
2221 42 750,"Hochdruckschichtpressstoffe mit Dekorschicht auf einer oder beiden Seiten, aus Aminoharzen, geschichtet","High -pressure layered substances with decorative layer on one or both sides, from aminoharzen, layered",kg + m2
2221 42 790,"Andere Tafeln, Folien u.ä., aus Aminoharzen und aus anderen Polymerisationserzeugnissen","Other plates, foils, etc., from aminoharzen and from other polymerization products",kg + m2
2221 42 801,aus Polyvinylchlorid/Polyethylen,made of polyvinyl chloride/polyethylene,kg
2221 42 803,aus Polyamid/Polyethylen,made of polyamide/polyethylene,kg
2221 42 805,aus Polypropylen/Polyethylen,made of polypropylene/polyethylene,kg
2221 42 807,aus Polyethylen/Polyethylenterephthalat,made of polyethylene/polyethylenterephthalat,kg
2221 42 809,aus anderen Verbunden,connected from others,kg
2222 11 002,mit einem Gewicht von 120 g/m² oder weniger (ohne Mülltonnensäcke),With a weight of 120 g/m² or less (without garbage can bags),kg
2222 11 003,Mülltonnensäcke mit einem Gewicht von 120 g/m² oder weniger,Garbage can bags with a weight of 120 g/m² or less,kg
2222 11 005,Sehr strapazierfähige Beutel mit einem Gewicht von mehr als 120 g/m²,Very hard -wearing bags with a weight of more than 120 g/m²,kg
2222 11 006,Tragebeutel,Carrier,kg
2222 11 007,Andere Säcke und Beutel (einschl. Tüten),Other sacks and bags (including bags),kg
2222 12 003,mit einem Gewicht von 120 g/m² oder weniger,With a weight of 120 g/m² or less,kg
2222 12 007,Sehr strapazierfähige Beutel mit einem Gewicht von mehr als 120 g/m²,Very hard -wearing bags with a weight of more than 120 g/m²,kg
2222 12 008,Andere Säcke und Beutel (einschl. Tüten),Other sacks and bags (including bags),kg
2222 13 000,"Schachteln, Dosen, Kisten, Verschläge u.ä. Waren, aus Kunststoffen","Slags, cans, boxes, crops, etc. Goods made of plastics",kg
2222 14 503,aus Polyethylen,from polyethylene,St
2222 14 505,aus Polypropylen,from polypropylene,St
2222 14 507,aus Polyvinylchlorid,From polyvinyl chloride,St
2222 14 509,aus anderen Kunststoffen,From other plastics,St
2222 14 703,aus Polyethylen,from polyethylene,St
2222 14 709,aus anderen Kunststoffen,From other plastics,St
2222 19 100,"Spulen, Spindeln, Hülsen u.ä. Warenträger","Cocks, spindles, sleeves, etc. Goods carrier",kg
2222 19 251,Verschluss- oder Flaschenkapseln,Clip or bottle capsules,kg
2222 19 253,"Stöpsel, Deckel u.a. Verschlüsse","Stocking, lid, among other things,",kg
2222 19 501,Gespritzte Netze in Schlauchform,Sprayed nets in hose shape,kg
2222 19 502,Sicherheitsbehälter für den Transport von Gefahrengut,Safety containers for the transport of dangerous money,St
2222 19 503,Fässer mit einem Fassungsvermögen von 5 bis 300 l,Barrels with a capacity of 5 to 300 l,St
2222 19 504,Andere Transportbehälter mit einem Fassungsvermögen von 5 bis 300 l,Other transport containers with a capacity of 5 to 300 l,St
2222 19 505,Fässer mit einem Fassungsvermögen über 300 l,Barrels with a capacity over 300 l,St
2222 19 506,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,St
2222 19 507,aus anderen Kunststoffen,From other plastics,St
2222 19 508,Müll- und Abfalltransportbehälter,Garbage and waste transport container,St
2222 19 509,"Andere Transport- und Verpackungsmittel, a.n.g.","Other transport and packaging agents, A.N.G.",EUR
2223 11 550,"bestehend aus einem Träger, mit Polyvinylchlorid getränkt, bestrichen oder überzogen","consisting of a carrier, soaked with polyvinyl chloride",m2
2223 11 590,"Andere Bodenbeläge, Wand- oder Deckenverkleidungen","Other floor coverings, wall or ceiling cladding",m2
2223 11 900,"Andere Bodenbeläge, Wand- oder Deckenverkleidungen aus anderen Kunststoffen","Other floor coverings, wall or ceiling cladding from other plastics",m2
2223 12 500,"Badewannen, Duschen und Spül- und Waschbecken","Bathtubs, showers and wash basins",St
2223 12 700,Klosettsitze und -deckel,Closet seats and lids,St
2223 12 900,"Bidets, Klosettschüsseln, Spülkästen u.ä. Waren zu sanitären oder hygienischen Zwecken","Bidets, toilet bowls, rinsing boxes, etc. Were for sanitary or hygienic purposes",St
2223 13 003,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,St
2223 13 007,aus anderen Kunststoffen,From other plastics,St
2223 14 505,"Fenster und deren Rahmen, Verkleidungen, Fensterbänke","Windows and their frames, cladding, window sills",St
2223 14 507,"Türen und deren Rahmen, Verkleidungen und Schwellen","Doors and their frames, disguises and thresholds",St
2223 14 700,"Fensterläden, Jalousien (einschl. Jalousetten) u.ä. Waren, Teile dafür","Heads of shutters, blinds (including blinds) etc. Goods, parts for it",St
2223 15 000,"Linoleum; Fußbodenbeläge, aus einer Spinnstoffunterlage mit einer Deckschicht oder einem Überzug bestehend, auch zugeschnitten","Linoleum; Floor coverings, consisting of a spinning material with a cover layer or a coating, also tailored",m2
2223 19 501,"Außenwandverkleidungen, Platten, Nut- und Federprofile aus faserverstärkten Kunststoffen","Outdoor wall cladding, plates, tart and spring profiles made of fiber reinforced plastics",kg
2223 19 502,"Außenwandverkleidungen, Platten, Nut- und Federprofile aus anderen Kunststoffen","Outside wall cladding, plates, tart and spring profiles from other plastics",kg
2223 19 505,Innenwandverkleidungen,Inner wall cladding,kg
2223 19 508,"Baubedarfsartikel (z.B. Beschläge und Dachelemente, Dachoberlichter, Rahmen für Dachoberlichter, Balkonverkleidungen), aus faserverstärkten Kunststoffen","Building requirements (e.g. fittings and roof elements, roofing lights, frames for roofing lights, balcony cladding), from fiber reinforced plastics",kg
2223 19 509,"Baubedarfsartikel (z.B. Beschläge und Dachelemente, Dachoberlichter, Rahmen für Dachoberlichter, Balkonverkleidungen), aus anderen Kunststoffen","Building requirements (e.g. fittings and roof elements, roofing lights, frames for roofing lights, balcony cladding), from other plastics",kg
2223 19 905,Dübel u.a. Wandbefestigungsartikel,"Dowels, among others, wall fortification items",kg
2223 19 909,"Andere Baubedarfsartikel, a.n.g.","Other building requirements, A.N.G.",kg
2223 20 000,Vorgefertigte Gebäude aus Kunststoffen,Prefabricated buildings made of plastics,m2 + St
2229 10 000,"Bekleidung und Bekleidungszubehör (einschl. Kopfbedeckungen (ohne Sicherheitskopfbedeckungen), Handschuhen, Regenkleidung, Schürzen, Gütel, Babylatzhosen), aus Kunststoffen","Clothing and clothing accessories (including headgear (without safety head cover), gloves, rainwear, aprons, fertilizers, babylati pants), made of plastics",EUR
2229 21 300,"Bänder, Streifen, mit nicht vulkanisiertem Natur- oder synthetischem Kautschuk bestrichen","Bands, stripes, coated with non-vulcanized natural or synthetic rubber",kg
2229 21 401,"Tafeln, Platten, Folien, Filme, aus Polyester und aus Kondensationspolymerisations- und Umlagerungspolymerisationserzeugnissen","Plates, plates, foils, films, from polyester and from condensation polymerization and rearrangement polymerization products",kg
2229 21 402,"Tafeln, Platten, Folien, Filme, aus Polymeren des Vinylchlorids und aus anderen Additionspolymerisationserzeugnissen","Plates, plates, foils, films, from polymers of the vinyl chloride and from other addition polymerization products",kg
2229 21 409,"Andere Tafeln, Platten, Folien, Filme, in Rollen mit einer Breite von 20 cm oder weniger, aus anderen Kunststoffen","Other plates, plates, foils, films, in roles with a width of 20 cm or less, from other plastics",kg
2229 22 403,weiter als nur oberflächenbearbeitet oder anders als nur quadratisch oder rechteckig zugeschnitten (z.B. mit abgerundeten Ecken oder rund),"Further than just surface -processed or, unlike just square or rectangular (e.g. with rounded corners or round)",kg
2229 22 405,aus Kondensationspolymerisations- und Umlagerungspolymerisationserzeugnissen,From condensation polymerization and reconciliation polymerization products,kg
2229 22 408,"Andere Tafeln, Platten, Folien, Filme, Bänder, Streifen u.a. flache Erzeugnisse, selbstklebend, mit einer Breite von mehr als 20 cm, aus Additionspolymerisationserzeugnissen u.a. Kunststoffen","Other plates, plates, films, films, ligaments, stripes, etc. flat products, self -adhesive, with a width of more than 20 cm, from addition polymerization products, etc.",kg
2229 23 201,Lebensmittelbehälter,Food tank,kg
2229 23 209,Anderes Geschirr und andere Artikel für den Tisch- oder Küchengebrauch (einschl. Tischtücher),Other dishes and other articles for table or kitchen use (including tablecloths),kg
2229 23 405,Andere Toiletten- und Hygieneartikel,Other toilet and hygiene articles,kg
2229 23 409,Andere Haushaltsartikel,Other budget items,kg
2229 24 000,"Teile für Beleuchtungskörper, Werbeleuchten, Leuchtschilder, beleuchtete Namensschilder, aus Kunststoffen","Parts for lighting bodies, advertising, light signs, illuminated name signs, made of plastics",EUR
2229 25 003,Radiergummi aus Kunststoff,Leaving rubber made of plastic,kg
2229 25 004,Andere Schreib- oder Zeichenutensilien (ohne Lineale),Other writing or drawing utensils (without a ruler),kg
2229 25 007,"Ringhefte, Aktentaschen, Schnellhefter","Ring books, briefcases, fast booklets",kg
2229 25 009,Andere Büro- oder Schulartikel,Other office or school articles,kg
2229 26 103,Innenbeschläge für Möbel,Interior fittings for furniture,kg
2229 26 105,Außenbeschläge für Möbel,Outside fittings for furniture,kg
2229 26 109,Beschläge für Karosserien u.dgl.,Fittings for bodies etc.,kg
2229 26 200,Statuetten u.a. Ziergegenstände,"Statuettes, including ornamental objects",kg
2229 26 300,"Schmutzkörbe u.ä. Abwassersiebe, für Kanalisationsabflüsse","Dirt baskets etc. Wastewater sieve, for sewer outflows",kg
2229 29 100,"Frisierkämme, Einsteckkämme, Haarspangen u.dgl., aus Hartkautschuk oder Kunststoff","Hairs of hairdressing, insert combat, hair clips, etc., from hard rubber or plastic",kg
2229 29 150,"Haarnadeln, Frisiernadeln, Haarklammern, Lockenwickler u.ä. Waren und Teile dafür, aus Hartkautschuk oder Kunststoff","Hair needles, hairdressing needles, hair clips, curlers etc. Goods and parts for it, made of hard rubber or plastic",kg
2229 29 200,Laufsohlen und Absätze aus Kunststoff,Soles and paragraphs made of plastic,St
2229 29 400,"Hygienische Waren a.n.g. (ohne solche aus Spinnstoffen, ohne hygienische Binden und Tampons), aus anderem Material, z.B. Windelhöschen, Stilleinlagen","Hygienic goods A.N.G. (without those made of spinning fabrics, without hygienic tying and tampons), from other materials, e.g. diaper panties, still inserts",t
2229 29 500,Andere aus Kunststofffolien hergestellte Waren,Other goods made from plastic foils,kg
2229 29 953,"Schilder, Verkehrszeichen, Buchstaben u.a., aus Kunststoffen","Signs, traffic signs, letters, etc., made of plastics",kg
2229 29 959,"Andere Waren aus Kunststoffen und aus anderen Stoffen als deren Primärformen, a.n.g. (ohne Schilder, Verkehrszeichen, Buchstaben u.ä., aus Kunststoffen), einschl. Wassermatratzen","Others were made of plastics and substances other than their primary forms, A.N.G. (Without signs, traffic signs, letters, etc., made of plastics), including water mattresses",kg
2229 91 103,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,kg
2229 91 107,aus anderen Kunststoffen,From other plastics,kg
2229 91 250,"für elektromechanische Haushaltgeräte, Elektrowärmegeräte für den Haushalt","For electromechanical household appliances, electric power devices for the household",kg
2229 91 270,für Bild- und Tonaufnahme- und -wiedergabegeräte,For image and sound recording and playback devices,kg
2229 91 302,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,kg
2229 91 304,aus anderen Kunststoffen,From other plastics,kg
2229 91 403,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,kg
2229 91 407,aus anderen Kunststoffen,From other plastics,kg
2229 91 502,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,kg
2229 91 506,aus anderen Kunststoffen,From other plastics,kg
2229 91 603,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,kg
2229 91 607,aus anderen Kunststoffen,From other plastics,kg
2229 91 803,aus faserverstärkten Kunststoffen,From fiber reinforced plastics,kg
2229 91 807,aus anderen Kunststoffen,From other plastics,kg
2229 91 930,für andere elektrotechnische Erzeugnisse,For other electrical engineering products,kg
2229 91 970,"für optische, foto- oder kinematografische Instrumente; Mess-, Prüf- oder Präzisionsinstrumente; medizinische und chirurgische Instrumente, Apparate und Geräte","for optical, photo or cinematographic instruments; Measurement, test or precision instruments; Medical and surgical instruments, devices and devices",kg
2298 00 000,"Schneide-, Gewindeschneide-, Beschichtungsleistungen, metallische Vakuumplattierungen u.a. Bearbeitungsleistungen an Kunststoffteilen und -oberflächen","Cutting, threaded screen, coating, metallic vacuum plea, etc. Processing services on plastic parts and surfaces",EUR
2299 99 000,Veredlung von Erzeugnissen dieser Güterabteilung,Finishing products of this goods department,EUR
2311 11 100,"Gegossenes oder gewalztes Glas in Platten oder Tafeln, nicht mit Drahteinlagen o.dgl. verstärkt, aus optischem Glas, gefärbt, undurchsichtig u.ä.","Poured or rolled glass in panels or plates, not with wire inlays or reinforced, made of optical glass, colored, opaque, etc.",m2 + t
2311 11 300,"Gegossenes oder gewalztes Glas, in Platten oder Tafeln, mit Drahteinlagen o.dgl. verstärkt; Profile aus gegossenem oder gewalztem Glas","Poured or rolled glass, in plates or plates, with wire inlays or the like. reinforced; Profiles made of cast or rolled glass",t
2311 11 500,"Gezogenes oder geblasenes Glas, in Tafeln","Pulled or blown glass, in panels",m2 + t
2311 12 120,"Feuerpoliertes Glas, nicht mit Drahteinlagen, in Platten, mit nicht reflektierender Schicht","Fire -polished glass, not with wire inserts, in plates, with non -reflective layer",m2 + t
2311 12 140,"Feuerpoliertes Glas, nicht mit Drahteinlagen, in Platten, mit absorbierender u.ä. Schicht, mit einer Dicke von 3,5 mm oder weniger","Fire -polished glass, not with wire inserts, in panels, with absorbing, etc. Layer, with a thickness of 3.5 mm or less",m2 + t
2311 12 170,"Feuerpoliertes Glas, nicht mit Drahteinlagen, in Platten, mit absorbierender u.ä. Schicht, mit einer Dicke von mehr als 3,5 mm","Fire -polished glass, not with wire inserts, in panels, with absorbing, etc. Layer, with a thickness of more than 3.5 mm",m2 + t
2311 12 300,"Anderes feuerpoliertes Glas, nicht mit Drahteinlagen, in der Masse gefärbt, undurchsichtig, überfangen oder nur geschliffen","Other fire -polished glass, not with wire inserts, colored in the mass, opaque, overhauled or just sanded",m2 + t
2311 12 900,"Anderes feuerpoliertes Glas, auch mit Drahteinlagen","Another fire polished glass, also with wire inlays",m2 + t
2312 11 500,Optisches Glas,Optical glass,kg
2312 11 900,Anderes Glas,Different glass,kg
2312 12 100,"Einschichten-Sicherheitsglas, vorgespannt, für Fahrzeuge","Shifting safety glass, pretended, for vehicles",m2
2312 12 300,"Anderes Einschichten-Sicherheitsglas, vorgespannt","Other layering safety glass, pretended",m2
2312 12 500,"Mehrschichten-Sicherheitsglas (Verbundglas), für Fahrzeuge","Multi-layer security glass (composite glass), for vehicles",kg + m2
2312 12 700,Anderes Mehrschichten-Sicherheitsglas (Verbundglas),Other multi-layer security glass (composite glass),m2
2312 13 300,Mehrschichten-Isolierverglasungen,Multi-layer insulating glazing,m2
2312 13 500,Rückspiegel für Fahrzeuge,Return mirror for vehicles,St
2312 13 900,"Andere Spiegel, auch gerahmt","Other mirrors, also framed",kg + m2
2312 99 000,Veredlung und Bearbeitung von Flachglas,Refinement and processing of flat glass,EUR
2313 11 100,"Haushaltskonservengläser; Stopfen, Deckel u.a. Verschlüsse, aus Glas","Household polluting glasses; Stuffing, lid, etc. Courts, made of glass",t
2313 11 200,Behältnisse aus Hohlglas (ohne Haushaltskonservengläser),Hohllas containers (without household cancellation glasses),St + t
2313 11 300,"Behältnisse aus Glas, mit einem Nenninhalt von 2,5 l oder mehr (ohne Haushaltskonservengläser)","Glass containers, with a nominal content of 2.5 l or more (without household cancellation glasses)",St + t
2313 11 400,Flaschen aus nicht gefärbtem Glas,Bottles made of non -colored glass,St + t
2313 11 500,Flaschen aus gefärbtem Glas,Bottles made of colored glass,St + t
2313 11 600,"Andere Behältnisse für Nahrungsmittel und Getränke, mit einem Nenninhalt von weniger als 2,5 l","Other containers for food and drinks, with a nominal content of less than 2.5 l",St + t
2313 11 700,"Behältnisse aus Glas für pharmazeutische Erzeugnisse, mit einem Nenninhalt von weniger als 2,5 l","Glass containers for pharmaceutical products, with a nominal content of less than 2.5 l",St + t
2313 11 801,"aus Glasröhren, mit einer Wandstärke von weniger als 1 mm","made of glass tubes, with a wall thickness of less than 1 mm",St + t
2313 11 809,Andere Behältnisse zu Transport- oder Verpackungszwecken für andere Erzeugnisse,Other containers for transport or packaging purposes for other products,St + t
2313 12 200,"aus Bleikristall, handgefertigt (manuelle Glasentnahme)","made of lead crystal, handmade (manual glass withdrawal)",St + t
2313 12 400,"aus Bleikristall, mechanisch gefertigt (mechanische Glasentnahme)","made of lead crystal, mechanically manufactured (mechanical glass withdrawal)",St + t
2313 12 600,aus vorgespanntem Glas,From pre -tensioned glass,St + t
2313 12 900,aus anderem Glas (ohne solche aus Bleikristall oder aus vorgespanntem Glas),From other glass (without any of the lead crystal or made of pre -tensioned glass),St + t
2313 13 100,"aus Bleikristall, handgefertigt (manuelle Glasentnahme)","made of lead crystal, handmade (manual glass withdrawal)",St + t
2313 13 300,"aus Bleikristall, mechanisch gefertigt (mechanische Glasentnahme)","made of lead crystal, mechanically manufactured (mechanical glass withdrawal)",St + t
2313 13 500,"aus anderem Glas, zur Verwendung bei Tisch oder in der Küche, mit einem speziellen linearen Ausdehnungskoeffizienten für Temperaturen von 0°C bis 300°C (ohne Waren aus Glaskeramik)","From another glass, for use at the table or in the kitchen, with a special linear expansion coefficient for temperatures from 0 ° C to 300 ° C (without goods made of glass ceramic)",St + t
2313 13 600,Glaskeramikwaren,Glass ceramic goods,St + t
2313 13 900,Andere Glaswaren,Other glassware,St + t
