date,Category,Total,0-10%,10%-20%,20%-30%,30%-40%,40%-50%,50%-60%,60%-70%,70%-80%,80%-90%,90%-100%
2004-01-01,From business (net),$7,1.68688150326954%,3.39352586069614%,4.28806366730909%,5.28350049479114%,6.39638180200698%,7.75171395508869%,9.46947061011065%,11.62547942012480%,15.06432726735170%,35.04065541925130%
2004-01-01,From nonprofit institutions,$62,16.84450337777660%,8.24882832299214%,6.64690955437863%,5.85167319431067%,6.79428680505683%,8.69809538420317%,10.09047953843720%,11.43132714913020%,13.97345634795730%,11.42044032575730%
2004-01-01,"Less: Contributions for government social insurance, domestic",$829,0.95506366757138%,2.58861311338250%,3.56938894978389%,4.91820739603692%,6.62356935579454%,8.83343795681599%,11.48566913131570%,14.58252885684280%,18.59111272603840%,27.85240884641790%
2004-01-01,Household income,"$10,036",1.73853293003528%,3.43456788884827%,4.32355064962648%,5.31280855078138%,6.41877904793391%,7.76567324482203%,9.47277522716655%,11.61537644610180%,15.03286607019050%,34.88507991278150%
2004-01-01,Personal income,"$10,044",1.64567970663068%,3.40480460945315%,4.30907780829465%,5.30930515791302%,6.41632397445075%,7.75986689679616%,9.46897003113281%,11.61657367616820%,15.03957174129650%,35.02983635782820%
2004-01-01,Less: Taxes,"$1,049",0.15907156241522%,0.49396682953577%,0.93162816166105%,1.67082230449276%,2.77025548133526%,4.47829205908319%,6.81029649600115%,10.23058071285900%,16.03092778515370%,56.42415859379860%
2004-01-01,Disposable personal income,"$8,996",1.81899615294600%,3.74416507348589%,4.70283824772470%,5.73349811609565%,6.84140118351068%,8.14244936100895%,9.77893118152255%,11.77815876484590%,14.92399254576970%,32.53556937918410%
2003-01-01,Compensation of employees,"$6,354",0.95152937463139%,2.45213638895156%,3.51158087193592%,4.86308661551347%,6.66450469342843%,8.84061780537864%,11.39255564265700%,14.15046357666930%,18.13149051435840%,29.04203451647590%
2003-01-01,Proprietors' income with inventory valuation,$898,-0.66357570275415%,0.20357989447906%,0.41160023337132%,0.69178285640244%,1.68124108714850%,2.67553646054940%,3.84919266700638%,6.19345937606351%,10.53424732971130%,74.42293579802230%
2003-01-01,Rental income of households with capital consumption adjustment,$223,1.90474731816048%,3.88161017484311%,5.18990888920376%,6.16985013235175%,7.39522999231569%,8.38438355929124%,10.02349254545130%,11.33415617545290%,14.65220702287420%,31.06441419005560%
2003-01-01,Household income receipts on assets,"$1,419",0.73239029354540%,1.18512416476798%,1.60912738226598%,2.42045286569393%,3.85902406236553%,5.27466554758945%,6.83144098107420%,9.85323787384891%,14.57306857964680%,53.66146841296460%
2003-01-01,Household interest income,"$1,000",1.09541970552979%,1.47106507718656%,1.93704415179794%,2.84623507395273%,4.38901479716479%,5.87353427216783%,7.44061889660600%,10.41237414612280%,15.33479579379150%,49.19989831811210%
2003-01-01,Household dividend income,$419,-0.13336238118356%,0.50321217205189%,0.82711135012430%,1.40504729941463%,2.59510196380634%,3.84648319376535%,5.37867326488670%,8.51980948684017%,12.75650124022680%,64.30142241006730%
2003-01-01,Household current transfer receipts,"$1,378",7.49598426625935%,11.70410471310880%,12.84391788764610%,13.10456062704900%,11.85232157035650%,10.15547046883370%,8.97676314766182%,8.49955498945128%,7.89635759038515%,7.47096473924828%
2003-01-01,Government social benefits,"$1,304",7.20377712273767%,12.01166040710910%,13.21364851415200%,13.48963047337070%,12.06257411185650%,10.25350702066120%,8.95106911768324%,8.35216895502560%,7.54657669247047%,6.91538758493365%
2003-01-01,From business (net),$16,1.68706442333118%,3.38130144598547%,4.29145885713042%,5.29909296780023%,6.51456705023390%,7.87679641023973%,9.58562404490656%,11.84416098864220%,15.30475435247970%,34.21517945925060%
2003-01-01,From nonprofit institutions,$57,15.79205883103490%,7.03472026691799%,6.82174929439610%,6.52250288418472%,8.56118967844082%,8.56172841655600%,9.39118223077816%,10.91837442511810%,13.78566335622830%,12.61083061634480%
2003-01-01,"Less: Contributions for government social insurance, domestic",$779,0.96466750387212%,2.51694271153373%,3.53704898661560%,4.89876790533699%,6.76718732509261%,9.02430428322015%,11.71491570239830%,14.59209305085010%,18.63204511519700%,27.35202741588340%
2003-01-01,Household income,"$9,491",1.73727653528158%,3.42127204618888%,4.32594318689605%,5.32748843603297%,6.53561459071799%,7.88961131295478%,9.58812433376689%,11.83302815767690%,15.27270753015120%,34.06891282209870%
2003-01-01,Personal income,"$9,499",1.65227406479736%,3.39923355583783%,4.31067431405740%,5.32009650522357%,6.52326983578394%,7.88547536137731%,9.58929357510303%,11.83861357326280%,15.28188342759310%,34.19916475550640%
2003-01-01,Less: Taxes,"$1,004",0.14890152498009%,0.51933193446644%,0.90673755609243%,1.64424053184508%,2.88364259563989%,4.57277814587573%,6.96460565001929%,10.50003924789860%,16.50626998654490%,55.35345283836040%
2003-01-01,Disposable personal income,"$8,495",1.82987208733081%,3.73944519300701%,4.71279183385523%,5.75433667836730%,6.95323019723036%,8.27681447336923%,9.89935603328717%,11.99674347580020%,15.13724287714600%,31.70014363325400%
2002-01-01,Compensation of employees,"$6,135",1.07235745602916%,2.56246660289694%,3.67485022846766%,4.97006271185111%,6.74262685436257%,8.92082694107964%,11.17247920588000%,13.97938113473490%,17.66447019485540%,29.24047866984250%
2002-01-01,Proprietors' income with inventory valuation,$870,-0.89234955994291%,0.19156417282829%,0.34036953487512%,0.72104239831692%,1.41667979197415%,2.54653291145741%,3.76559274665959%,5.94912769027297%,10.82430375312660%,75.13713648813160%
2002-01-01,Rental income of households with capital consumption adjustment,$204,2.25570408016776%,4.28257180884278%,5.30174752727554%,6.13858522263528%,7.17873601553025%,8.38446269630084%,9.82311467913101%,11.35804786281370%,14.17720003135080%,31.09983007595200%
2002-01-01,Household income receipts on assets,"$1,380",0.73409145636441%,1.16983362736631%,1.57639506754245%,2.48638745234421%,3.81415466911406%,5.31484139423778%,6.76252703717251%,9.26485444610437%,14.22564088412150%,54.65127391545580%
2002-01-01,Household interest income,$991,1.11688823866661%,1.44497927340654%,1.91205446134422%,2.90479400335889%,4.37555379355263%,5.88545660066326%,7.26959145974596%,9.88579448026792%,14.66649525851290%,50.53839237700030%
2002-01-01,Household dividend income,$389,-0.24251057045796%,0.46787423790075%,0.72005128550412%,1.41893677185729%,2.38189727268127%,3.85907166759769%,5.46888987586586%,7.68069458913743%,13.10092067886080%,65.14417414930610%
2002-01-01,Household current transfer receipts,"$1,313",7.48173534533172%,11.55224897393510%,12.53620832963820%,12.85243594135730%,11.65949676709710%,10.22399958603600%,9.18477899180488%,8.32961252833882%,8.03040149546411%,8.14908204099666%
2002-01-01,Government social benefits,"$1,235",7.14011687984007%,11.80436164693460%,13.05060833727660%,13.24729441533190%,11.95673555917740%,10.45541129838610%,9.12671209768400%,8.22069335617488%,7.70468314230358%,7.29338326689094%
2002-01-01,From business (net),$23,1.72671261990944%,3.40855332274597%,4.31158510846707%,5.31702806758157%,6.47969755045755%,7.91281473406657%,9.45500039376196%,11.60343255407750%,15.01466711878650%,34.77050853014590%
2002-01-01,From nonprofit institutions,$54,17.74423908558960%,9.31089170086931%,4.35185082275116%,7.09596742943792%,7.11417363369802%,5.94446415331838%,10.39190185705580%,9.40314087691413%,12.44826785414830%,16.19510258621740%
2002-01-01,"Less: Contributions for government social insurance, domestic",$751,1.12262876282045%,2.64872179111729%,3.71511648547866%,5.01104462198685%,6.85161825299131%,9.17149772253961%,11.53272567943230%,14.49008965751660%,18.28365852777450%,27.17289849834240%
2002-01-01,Household income,"$9,151",1.77644830210026%,3.44818348869505%,4.34577352842025%,5.34518383256831%,6.50085088827267%,7.92536307682151%,9.45826807546993%,11.59378909092040%,14.98451841776270%,34.62158850107450%
2002-01-01,Personal income,"$9,161",1.68161366712455%,3.41321441771531%,4.34549800053921%,5.33462663553729%,6.49707345012046%,7.93699671028902%,9.45272059173118%,11.60681937625410%,14.99973741935650%,34.73166696918620%
2002-01-01,Less: Taxes,"$1,052",0.10594004162913%,0.47727487547738%,0.95404131421162%,1.64903677311020%,2.83190596590274%,4.60042108757824%,6.85741396777665%,10.40513321354450%,16.13494449834470%,55.98388826670610%
2002-01-01,Disposable personal income,"$8,109",1.88606986210081%,3.79417590833650%,4.78556641141810%,5.81286108399001%,6.97265778639750%,8.36994341618186%,9.78948146018622%,11.76274644783160%,14.85243326559340%,31.97401501178000%
2001-01-01,Compensation of employees,"$6,038",1.12668832984766%,2.69257877621648%,3.74914042323102%,5.05036267001071%,6.69410528947261%,8.81877177194972%,11.13617889312030%,13.76133066458670%,17.41416475031900%,29.55667843124580%
2001-01-01,Proprietors' income with inventory valuation,$831,-0.63708099374446%,0.20753992958766%,0.41204213395729%,0.91721848065538%,1.51640672458788%,2.45336099461396%,3.85033259290467%,5.87540229454541%,11.12676037691110%,74.27801746598110%
2001-01-01,Rental income of households with capital consumption adjustment,$198,2.08628390242130%,3.99971109715550%,5.19468906074153%,5.97965467465083%,7.00605814301018%,7.95092811152091%,9.21789151106897%,10.63342651775990%,14.76783329921950%,33.16352368245140%
2001-01-01,Household income receipts on assets,"$1,443",0.80827265508755%,1.14968956246099%,1.54869682786866%,2.51108673024660%,3.74920339238806%,5.14543440977284%,6.89040305995577%,9.10211394517803%,14.07025757134580%,55.02484181987140%
2001-01-01,Household interest income,"$1,084",1.07349168365751%,1.35942647952659%,1.77899759183261%,2.77422407871311%,4.12755874577072%,5.55715449300643%,7.22136766308348%,9.38889247519978%,14.34444032246340%,52.37444643235130%
2001-01-01,Household dividend income,$360,0.00914694269771%,0.51773579893121%,0.85478258250345%,1.71823328310334%,2.60918906936346%,3.90488954165658%,5.89318078040697%,8.23802776577599%,13.24412346063280%,63.01069077492850%
2001-01-01,Household current transfer receipts,"$1,217",7.69625551850279%,11.62937680436670%,12.52458655073830%,12.67642471678610%,11.88203739013770%,10.29665429585690%,8.96326342671076%,8.30148655403789%,7.90760242069772%,8.12231232216501%
2001-01-01,Government social benefits,"$1,132",7.49922213425564%,12.05387131900160%,13.09385673410660%,13.14415938045260%,12.28059765003820%,10.47762676817710%,8.87921742798527%,8.04886946025156%,7.46906532994440%,7.05351379578697%
2001-01-01,From business (net),$34,1.76909189073382%,3.40351381449680%,4.26593662319011%,5.27479275703224%,6.41412748682637%,7.77945674714145%,9.39823569542136%,11.44265619048400%,14.91645485063680%,35.33573394403710%
2001-01-01,From nonprofit institutions,$51,15.99014004257400%,7.71214623238037%,5.42894434893384%,7.25569583906859%,6.70543308286433%,7.96900073158080%,10.53202515763850%,11.79818631489130%,12.94393156450360%,13.66449668556470%
2001-01-01,"Less: Contributions for government social insurance, domestic",$733,1.19617808602557%,2.83383725237830%,3.84332820173272%,5.18669480017669%,6.90354861573598%,9.18382272723922%,11.67378033208900%,14.29215638354820%,18.20353970188840%,26.68311389918590%
2001-01-01,Household income,"$8,995",1.81701848291877%,3.44191996671275%,4.29932347908665%,5.30230373121078%,6.43500775960539%,7.79239491256921%,9.40173306971221%,11.43426006019580%,14.88783451001060%,35.18822625929920%
2001-01-01,Personal income,"$9,013",1.73613468966826%,3.41736566865308%,4.29264887919313%,5.29099456270575%,6.43331010313632%,7.79129120374523%,9.39528414135445%,11.43225602068560%,14.89909607076510%,35.31162975127690%
2001-01-01,Less: Taxes,"$1,239",0.12860209738545%,0.50639401041297%,0.95387993443663%,1.66513450053811%,2.78765868258783%,4.50249979277934%,6.88547259453264%,10.14071328418250%,16.09330990146360%,56.33633519881070%
2001-01-01,Disposable personal income,"$7,774",1.99235660380048%,3.88134054159781%,4.82480964157985%,5.86891429507329%,7.01438434680394%,8.31548613114179%,9.79531877936115%,11.63811284356990%,14.70875233835580%,31.96053733816240%
2000-01-01,Compensation of employees,"$5,847",1.16716184735451%,2.78178481896566%,3.75177868190823%,5.08970671711151%,6.81506835594872%,8.91057041560026%,11.16632762817740%,13.93865880168640%,17.36396203086180%,29.01498070238550%
2000-01-01,Proprietors' income with inventory valuation,$754,-0.44401220989080%,0.27464331326514%,0.43821404163341%,0.97172335906793%,1.93418731625920%,2.68149009777964%,3.96113746623928%,6.18105875201319%,12.47394129849850%,71.52761656513450%
2000-01-01,Rental income of households with capital consumption adjustment,$180,2.48968403604247%,4.25937048323142%,5.35857463428015%,6.16407700625671%,7.22075045980721%,7.63158346873540%,9.15130526959526%,10.52538272883440%,13.61198363696880%,33.58728827624820%
2000-01-01,Household income receipts on assets,"$1,444",0.96086191747715%,1.15529393485159%,1.66594518451119%,2.57398297113872%,3.77702906880700%,5.27196729545422%,6.66603248401222%,9.27863472163163%,13.89947078356860%,54.75078165400550%
2000-01-01,Household interest income,"$1,071",1.25193019441626%,1.35206406769173%,1.91262098019221%,2.87705414817768%,4.09290243053840%,5.67301347782871%,6.92185639290517%,9.55072202380272%,13.70624912305360%,52.66158718224400%
2000-01-01,Household dividend income,$374,0.12651746278984%,0.59125421568426%,0.95885135623014%,1.70523231717818%,2.87158107387085%,4.12237221811892%,5.93271567599088%,8.49869905105777%,14.45333884047790%,60.73943778860130%
2000-01-01,Household current transfer receipts,"$1,108",7.89325651710760%,11.44434852367770%,12.83912423587530%,12.91286016427160%,11.88326217747720%,10.05582391541780%,8.79906900284291%,7.86760438660274%,7.59266358705866%,8.71198748966848%
2000-01-01,Government social benefits,"$1,033",7.81312068116585%,11.96039683913200%,13.35755868798700%,13.26252243021270%,12.24913065115920%,10.19072261405010%,8.72284515892582%,7.58035876418770%,7.20974719310955%,7.65359698006996%
2000-01-01,From business (net),$31,1.83398462393106%,3.38695873607812%,4.27453174671051%,5.29721582179232%,6.49605616625772%,7.83430040288886%,9.39660046226469%,11.59251977336770%,14.97828227795630%,34.90954998875270%
2000-01-01,From nonprofit institutions,$44,14.06326548958120%,5.07674795286738%,6.77514855209528%,10.12646020873280%,7.13818066411261%,8.47297994161490%,10.15960348812720%,11.95063521197310%,11.32040696471280%,14.91657152618280%
2000-01-01,"Less: Contributions for government social insurance, domestic",$706,1.23232693576756%,2.91888522475069%,3.85323232827537%,5.25258470749984%,7.11373920946800%,9.29695831373075%,11.62431178067330%,14.49912702473080%,18.24455915131150%,25.96427532379220%
2000-01-01,Household income,"$8,627",1.87789557408203%,3.42251935802207%,4.30531497702553%,5.32250241682728%,6.51489991963811%,7.84594090141011%,9.39984788873330%,11.58396211706760%,14.95151460392170%,34.77562542796840%
2000-01-01,Personal income,"$8,656",1.81541968763459%,3.41378934321960%,4.29246805992644%,5.29780495909891%,6.51156489216235%,7.84264721268968%,9.39594824896614%,11.58216510471870%,14.97024664798580%,34.87796895175370%
2000-01-01,Less: Taxes,"$1,236",0.36335004553900%,0.65124265621487%,1.11445616500192%,1.88726408088333%,3.08996952640991%,4.83232194342000%,7.04628649105494%,10.49281433994550%,16.19763732669030%,54.32465743382240%
2000-01-01,Disposable personal income,"$7,420",2.05737853511705%,3.87411342201037%,4.82202119609488%,5.86610438078653%,7.08170616505962%,8.34425816390248%,9.78747229884087%,11.76368260755200%,14.76572390642600%,31.63755280355620%
